seasoncollected,yearcollected,waterbody,scientificname,phylum
winter,1984,Mediterranean sea,Lithophaga lithophaga,Mollusca
winter,1984,Mediterranean sea,Chama gryphoides,Mollusca
winter,1984,Mediterranean sea,Hirtomurex squamosus,Mollusca
winter,1984,Mediterranean sea,Haliotis tuberculata,Mollusca
winter,1984,Mediterranean sea,Anomia ephippium,Mollusca
winter,1984,Mediterranean sea,Raphitoma echinata,Mollusca
winter,1984,Mediterranean sea,Dendrodoris limbata,Mollusca
winter,1984,Mediterranean sea,Elysia timida,Mollusca
winter,1984,Mediterranean sea,Jujubinus gravinae,Mollusca
winter,1984,Mediterranean sea,Felimare picta,Mollusca
winter,1984,Mediterranean sea,Flabellina pedata,Mollusca
winter,1984,Mediterranean sea,Homalopoma sanguineum,Mollusca
winter,1984,Mediterranean sea,Jujubinus striatus,Mollusca
winter,1984,Mediterranean sea,Arca tetragona,Mollusca
winter,1984,Mediterranean sea,Cuthona caerulea,Mollusca
winter,1984,Mediterranean sea,Rissoa variabilis,Mollusca
winter,1984,Mediterranean sea,Mangelia taeniata,Mollusca
winter,1984,Mediterranean sea,Kellia suborbicularis,Mollusca
winter,1984,Mediterranean sea,Raphitoma laviae,Mollusca
winter,1984,Mediterranean sea,Calliostoma zizyphinum,Mollusca
winter,1984,Mediterranean sea,Elysia viridis,Mollusca
winter,1969,Mediterranean sea,Alvania cimex,Mollusca
winter,1969,Mediterranean sea,Acanthochitona discrepans,Mollusca
winter,1969,Mediterranean sea,Acanthochitona fascicularis,Mollusca
winter,1969,Mediterranean sea,Barleeia unifasciata,Mollusca
winter,1969,Mediterranean sea,Calma glaucoides,Mollusca
winter,1969,Mediterranean sea,Vitreolina incurva,Mollusca
winter,1969,Mediterranean sea,Gibbula varia,Mollusca
winter,1969,Mediterranean sea,Chiton olivaceus,Mollusca
winter,1969,Mediterranean sea,Parvicardium pinnulatum,Mollusca
winter,1969,Mediterranean sea,Cerithium rupestre,Mollusca
winter,1969,Mediterranean sea,Columbella rustica,Mollusca
winter,1969,Mediterranean sea,Callochiton septemvalvis,Mollusca
winter,1969,Mediterranean sea,Nassarius corniculum,Mollusca
winter,1969,Mediterranean sea,Parvicardium exiguum,Mollusca
winter,1969,Mediterranean sea,Cerithium lividulum,Mollusca
winter,1969,Mediterranean sea,Diodora graeca,Mollusca
winter,1969,Mediterranean sea,Striarca lactea,Mollusca
winter,1969,Mediterranean sea,Aplysia punctata,Mollusca
winter,1969,Mediterranean sea,Cylichna cylindracea,Mollusca
winter,1969,Mediterranean sea,Mytilaster minimus,Mollusca
winter,1969,Mediterranean sea,Jujubinus exasperatus,Mollusca
winter,1969,Mediterranean sea,Cerithiopsis tubercularis,Mollusca
winter,1969,Mediterranean sea,Gibbula adansonii,Mollusca
winter,1969,Mediterranean sea,Gibbula racketti,Mollusca
winter,1969,Mediterranean sea,Arca noae,Mollusca
winter,1969,Mediterranean sea,Bittium reticulatum,Mollusca
winter,1969,Mediterranean sea,Chama gryphoides,Mollusca
winter,1969,Mediterranean sea,Pseudochama gryphina,Mollusca
winter,1969,Mediterranean sea,Anomia ephippium,Mollusca
winter,1969,Mediterranean sea,Cerithium vulgatum,Mollusca
winter,1969,Mediterranean sea,Melanella polita,Mollusca
winter,1969,Mediterranean sea,Irus irus,Mollusca
winter,1969,Mediterranean sea,Conus mediterraneus,Mollusca
winter,1969,Mediterranean sea,Jujubinus striatus,Mollusca
winter,1969,Mediterranean sea,Cardita calyculata,Mollusca
winter,1969,Mediterranean sea,Diodora italica,Mollusca
winter,1969,Mediterranean sea,Diodora italica,Mollusca
winter,1969,Mediterranean sea,Hiatella rugosa,Mollusca
summer,1992,Mediterranean sea,Acanthochitona fascicularis,Mollusca
summer,1992,Mediterranean sea,Barleeia unifasciata,Mollusca
summer,1992,Mediterranean sea,Granulina marginata,Mollusca
summer,1992,Mediterranean sea,Alvania cimex,Mollusca
summer,1992,Mediterranean sea,Tricolia speciosa,Mollusca
summer,1992,Mediterranean sea,Monophorus perversus,Mollusca
summer,1992,Mediterranean sea,Clanculus corallinus,Mollusca
summer,1992,Mediterranean sea,Gibbula guttadauri,Mollusca
summer,1992,Mediterranean sea,Felimare villafranca,Mollusca
summer,1992,Mediterranean sea,Pusillina lineolata,Mollusca
summer,1992,Mediterranean sea,Rissoa similis,Mollusca
summer,1992,Mediterranean sea,Gibbula fanulum,Mollusca
summer,1992,Mediterranean sea,Barbatia barbata,Mollusca
summer,1992,Mediterranean sea,Chauvetia affinis,Mollusca
summer,1992,Mediterranean sea,Petalifera petalifera,Mollusca
summer,1992,Mediterranean sea,Fusinus rostratus,Mollusca
summer,1992,Mediterranean sea,Turbonilla pulchella,Mollusca
summer,1992,Mediterranean sea,Felimida krohni,Mollusca
summer,1992,Mediterranean sea,Tricolia tenuis,Mollusca
summer,1992,Mediterranean sea,Calliostoma conulus,Mollusca
summer,1992,Mediterranean sea,Gibbula drepanensis,Mollusca
summer,1992,Mediterranean sea,Bolma rugosa,Mollusca
summer,1992,Mediterranean sea,Scissurella costata,Mollusca
summer,1992,Mediterranean sea,Columbella rustica,Mollusca
summer,1992,Mediterranean sea,Muricopsis cristata,Mollusca
summer,1992,Mediterranean sea,Alvania lineata,Mollusca
summer,1992,Mediterranean sea,Rissoa ventricosa,Mollusca
summer,1992,Mediterranean sea,Calliostoma laugieri,Mollusca
summer,1992,Mediterranean sea,Clanculus jussieui,Mollusca
summer,1992,Mediterranean sea,Gibbula turbinoides,Mollusca
summer,1992,Mediterranean sea,Gibberula philippii,Mollusca
summer,1992,Mediterranean sea,Lepidopleurus cajetanus,Mollusca
summer,1992,Mediterranean sea,Mitromorpha olivoidea,Mollusca
summer,1992,Mediterranean sea,Nassarius incrassatus,Mollusca
summer,1992,Mediterranean sea,Pollia dorbignyi,Mollusca
summer,1992,Mediterranean sea,Coralliophila meyendorffii,Mollusca
summer,1992,Mediterranean sea,Amygdalum politum,Mollusca
summer,1992,Mediterranean sea,Tricolia pullus,Mollusca
summer,1992,Mediterranean sea,Hiatella arctica,Mollusca
summer,1992,Mediterranean sea,Enginella leucozona,Mollusca
summer,1992,Mediterranean sea,Alvania lanciae,Mollusca
summer,1992,Mediterranean sea,Gibberula miliaria,Mollusca
summer,1992,Mediterranean sea,Cerithiopsis tubercularis,Mollusca
summer,1992,Mediterranean sea,Mitrella gervillii,Mollusca
summer,1992,Mediterranean sea,Hexaplex trunculus,Mollusca
summer,1992,Mediterranean sea,Alvania subcrenulata,Mollusca
summer,1992,Mediterranean sea,Tergipes tergipes,Mollusca
summer,1992,Mediterranean sea,Jujubinus exasperatus,Mollusca
summer,1992,Mediterranean sea,Flabellina lineata,Mollusca
summer,1992,Mediterranean sea,Fasciolaria lignaria,Mollusca
summer,1992,Mediterranean sea,Vexillum ebenus,Mollusca
summer,1992,Mediterranean sea,Gibbula ardens,Mollusca
summer,1992,Mediterranean sea,Arca noae,Mollusca
summer,1992,Mediterranean sea,Bittium reticulatum,Mollusca
summer,1992,Mediterranean sea,Thuridilla hopei,Mollusca
summer,1992,Mediterranean sea,Haminoea hydatis,Mollusca
summer,1992,Mediterranean sea,Rissoa membranacea,Mollusca
summer,1992,Mediterranean sea,Rissoina bruguieri,Mollusca
summer,1992,Mediterranean sea,Runcina coronata,Mollusca
summer,1992,Mediterranean sea,Favorinus branchialis,Mollusca
summer,1992,Mediterranean sea,Ocinebrina aciculata,Mollusca
summer,1992,Mediterranean sea,Pseudochama gryphina,Mollusca
summer,1992,Mediterranean sea,Flexopecten hyalinus,Mollusca
summer,1992,Mediterranean sea,Pusia tricolor,Mollusca
summer,1992,Mediterranean sea,Chiton corallinus,Mollusca
summer,1992,Mediterranean sea,Anomia ephippium,Mollusca
summer,1992,Mediterranean sea,Caecum trachea,Mollusca
summer,1992,Mediterranean sea,Alvania discors,Mollusca
summer,1992,Mediterranean sea,Jujubinus gravinae,Mollusca
summer,1992,Mediterranean sea,Felimare orsinii,Mollusca
summer,1992,Mediterranean sea,Raphitoma bicolor,Mollusca
summer,1992,Mediterranean sea,Conus mediterraneus,Mollusca
summer,1992,Mediterranean sea,Cuthona caerulea,Mollusca
summer,1992,Mediterranean sea,Alvania pagodula,Mollusca
summer,1992,Mediterranean sea,Rissoa violacea,Mollusca
summer,1992,Mediterranean sea,Homalopoma sanguineum,Mollusca
summer,1992,Mediterranean sea,Mangelia unifasciata,Mollusca
summer,1992,Mediterranean sea,Mitrella scripta,Mollusca
summer,1992,Mediterranean sea,Alvania cancellata,Mollusca
summer,1992,Mediterranean sea,Jujubinus striatus,Mollusca
summer,1992,Mediterranean sea,Euthria cornea,Mollusca
summer,1992,Mediterranean sea,Elysia viridis,Mollusca
summer,1992,Mediterranean sea,Hiatella rugosa,Mollusca
summer,1992,Mediterranean sea,Rissoa decorata,Mollusca
summer,1992,Mediterranean sea,Rissoa variabilis,Mollusca
summer,1992,Mediterranean sea,Philine quadripartita,Mollusca
summer,1992,Mediterranean sea,Cerithium repandum,Mollusca
summer,1992,Mediterranean sea,Cerithium repandum,Mollusca
summer,1992,Mediterranean sea,Nassarius mutabilis,Mollusca
summer,1992,Mediterranean sea,Ocinebrina edwardsii,Mollusca
summer,1992,Mediterranean sea,Ocinebrina edwardsii,Mollusca
summer,1992,Mediterranean sea,Gibbula adansonii,Mollusca
summer,1992,Mediterranean sea,Gibbula adansonii,Mollusca
summer,1992,Mediterranean sea,Gibbula racketti,Mollusca
summer,1992,Mediterranean sea,Gibbula racketti,Mollusca
summer,1992,Mediterranean sea,Parthenina terebellum,Mollusca
summer,1992,Mediterranean sea,Chrysallida excavata,Mollusca
summer,1992,Mediterranean sea,Haminoea hydatis,Mollusca
summer,1992,Mediterranean sea,Haminoea hydatis,Mollusca
summer,1992,Mediterranean sea,Pandora inaequivalvis,Mollusca
summer,1992,Mediterranean sea,Patella caerulea,Mollusca
summer,1992,Mediterranean sea,Patella caerulea,Mollusca
summer,1992,Mediterranean sea,Odostomia plicata,Mollusca
summer,1992,Mediterranean sea,Odostomia plicata,Mollusca
summer,1992,Mediterranean sea,Turbonilla delicata,Mollusca
summer,1992,Mediterranean sea,Ringicula auriculata,Mollusca
summer,1992,Mediterranean sea,Rissoa membranacea,Mollusca
summer,1992,Mediterranean sea,Rissoina bruguieri,Mollusca
summer,1992,Mediterranean sea,Setia amabilis,Mollusca
summer,1992,Mediterranean sea,Setia amabilis,Mollusca
summer,1992,Mediterranean sea,Bittium reticulatum,Mollusca
summer,1992,Mediterranean sea,Bittium reticulatum,Mollusca
summer,1992,Mediterranean sea,Bela zonata,Mollusca
summer,1992,Mediterranean sea,Eulima glabra,Mollusca
summer,1992,Mediterranean sea,Arca noae,Mollusca
summer,1992,Mediterranean sea,Arca noae,Mollusca
summer,1992,Mediterranean sea,Thyasira flexuosa,Mollusca
summer,1992,Mediterranean sea,Fusiturris undatiruga,Mollusca
summer,1992,Mediterranean sea,Strioturbonilla sigmoidea,Mollusca
summer,1992,Mediterranean sea,Musculus subpictus,Mollusca
summer,1992,Mediterranean sea,Hemilepton nitidum,Mollusca
summer,1992,Mediterranean sea,Dosinia lupinus,Mollusca
summer,1992,Mediterranean sea,Melanella petitiana,Mollusca
summer,1992,Mediterranean sea,Alvania mamillata,Mollusca
summer,1992,Mediterranean sea,Rissoa monodonta,Mollusca
summer,1992,Mediterranean sea,Solen marginatus,Mollusca
summer,1992,Mediterranean sea,Osilinus turbinatus,Mollusca
summer,1992,Mediterranean sea,Musculus subpictus,Mollusca
summer,1992,Mediterranean sea,Bolinus brandaris,Mollusca
summer,1992,Mediterranean sea,Alvania mamillata,Mollusca
summer,1992,Mediterranean sea,Osilinus turbinatus,Mollusca
summer,1992,Mediterranean sea,Eulimella acicula,Mollusca
summer,1992,Mediterranean sea,Chama gryphoides,Mollusca
summer,1992,Mediterranean sea,Chama gryphoides,Mollusca
summer,1992,Mediterranean sea,Gastrana fragilis,Mollusca
summer,1992,Mediterranean sea,Gastrana fragilis,Mollusca
summer,1992,Mediterranean sea,Setia turriculata,Mollusca
summer,1992,Mediterranean sea,Setia turriculata,Mollusca
summer,1992,Mediterranean sea,Flexopecten glaber,Mollusca
summer,1992,Mediterranean sea,Flexopecten hyalinus,Mollusca
summer,1992,Mediterranean sea,Tellina tenuis,Mollusca
summer,1992,Mediterranean sea,Fulvia fragilis,Mollusca
summer,1992,Mediterranean sea,Antalis novemcostata,Mollusca
summer,1992,Mediterranean sea,Mitrella psilla,Mollusca
summer,1992,Mediterranean sea,Mitrella psilla,Mollusca
summer,1992,Mediterranean sea,Conus mediterraneus,Mollusca
summer,1992,Mediterranean sea,Conus mediterraneus,Mollusca
summer,1992,Mediterranean sea,Tellina planata,Mollusca
summer,1992,Mediterranean sea,Glycymeris nummaria,Mollusca
summer,1992,Mediterranean sea,Epitonium tenuicostatum,Mollusca
summer,1992,Mediterranean sea,Spiralinella incerta,Mollusca
summer,1992,Mediterranean sea,Spiralinella incerta,Mollusca
summer,1992,Mediterranean sea,Acteon tornatilis,Mollusca
summer,1992,Mediterranean sea,Circulus striatus,Mollusca
summer,1992,Mediterranean sea,Anomia ephippium,Mollusca
summer,1992,Mediterranean sea,Anomia ephippium,Mollusca
summer,1992,Mediterranean sea,Caecum trachea,Mollusca
summer,1992,Mediterranean sea,Caecum trachea,Mollusca
summer,1992,Mediterranean sea,Fissurella nubecula,Mollusca
summer,1992,Mediterranean sea,Fissurella nubecula,Mollusca
summer,1992,Mediterranean sea,Scacchia oblonga,Mollusca
summer,1992,Mediterranean sea,Spisula subtruncata,Mollusca
summer,1992,Mediterranean sea,Petricola lithophaga,Mollusca
summer,1992,Mediterranean sea,Petricola lithophaga,Mollusca
summer,1992,Mediterranean sea,Pyrunculus hoernesii,Mollusca
summer,1992,Mediterranean sea,Pyrunculus hoernesii,Mollusca
summer,1992,Mediterranean sea,Retusa truncatula,Mollusca
summer,1992,Mediterranean sea,Retusa truncatula,Mollusca
summer,1992,Mediterranean sea,Alvania discors,Mollusca
summer,1992,Mediterranean sea,Alvania discors,Mollusca
summer,1992,Mediterranean sea,Abra alba,Mollusca
summer,1992,Mediterranean sea,Abra alba,Mollusca
summer,1992,Mediterranean sea,Irus irus,Mollusca
summer,1992,Mediterranean sea,Irus irus,Mollusca
summer,1992,Mediterranean sea,Pitar rudis,Mollusca
summer,1992,Mediterranean sea,Venerupis geographica,Mollusca
summer,1992,Mediterranean sea,Venerupis geographica,Mollusca
summer,1992,Mediterranean sea,Hyala vitrea,Mollusca
summer,1992,Mediterranean sea,Smaragdia viridis,Mollusca
summer,1992,Mediterranean sea,Fusinus syracusanus,Mollusca
summer,1992,Mediterranean sea,Nassarius cuvierii,Mollusca
summer,1992,Mediterranean sea,Nassarius cuvierii,Mollusca
summer,1992,Mediterranean sea,Acanthochitona crinita,Mollusca
summer,1992,Mediterranean sea,Acanthochitona crinita,Mollusca
summer,1992,Mediterranean sea,Glans trapezia,Mollusca
summer,1992,Mediterranean sea,Mangelia unifasciata,Mollusca
summer,1992,Mediterranean sea,Gregariella petagnae,Mollusca
summer,1992,Mediterranean sea,Gregariella petagnae,Mollusca
summer,1992,Mediterranean sea,Pharus legumen,Mollusca
summer,1992,Mediterranean sea,Philine catena,Mollusca
summer,1992,Mediterranean sea,Philine catena,Mollusca
summer,1992,Mediterranean sea,Parastrophia asturiana,Mollusca
summer,1992,Mediterranean sea,Parastrophia asturiana,Mollusca
summer,1992,Mediterranean sea,Acanthocardia paucicostata,Mollusca
summer,1992,Mediterranean sea,Cardita calyculata,Mollusca
summer,1992,Mediterranean sea,Cardita calyculata,Mollusca
summer,1992,Mediterranean sea,Lentidium mediterraneum,Mollusca
summer,1992,Mediterranean sea,Elysia viridis,Mollusca
summer,1992,Mediterranean sea,Elysia viridis,Mollusca
summer,1992,Mediterranean sea,Eastonia rugosa,Mollusca
summer,1992,Mediterranean sea,Eastonia rugosa,Mollusca
summer,1992,Mediterranean sea,Odostomia kromi,Mollusca
summer,1992,Mediterranean sea,Odostomia kromi,Mollusca
summer,1992,Mediterranean sea,Alvania tenera,Mollusca
summer,1992,Mediterranean sea,Parthenina emaciata,Mollusca
summer,1992,Mediterranean sea,Parthenina emaciata,Mollusca
summer,1992,Mediterranean sea,Pyrgiscus rufus,Mollusca
summer,1992,Mediterranean sea,Macoma cumana,Mollusca
summer,1992,Mediterranean sea,Thylaeodus rugulosus,Mollusca
summer,1992,Mediterranean sea,Thylaeodus rugulosus,Mollusca
summer,1992,Mediterranean sea,Echinolittorina punctata,Mollusca
summer,1992,Mediterranean sea,Echinolittorina punctata,Mollusca
summer,1992,Mediterranean sea,Melarhaphe neritoides,Mollusca
summer,1992,Mediterranean sea,Melarhaphe neritoides,Mollusca
summer,1992,Mediterranean sea,Mytilus galloprovincialis,Mollusca
summer,1992,Mediterranean sea,Mytilus galloprovincialis,Mollusca
summer,1992,Mediterranean sea,Odostomia lukisii,Mollusca
summer,1992,Mediterranean sea,Odostomia lukisii,Mollusca
summer,1992,Mediterranean sea,Pusillina inconspicua,Mollusca
summer,1992,Mediterranean sea,Pusillina inconspicua,Mollusca
summer,1992,Mediterranean sea,Weinkauffia turgidula,Mollusca
summer,1992,Mediterranean sea,Columbella rustica,Mollusca
summer,1992,Mediterranean sea,Columbella rustica,Mollusca
summer,1992,Mediterranean sea,Pisinna glabrata,Mollusca
summer,1992,Mediterranean sea,Pisinna glabrata,Mollusca
summer,1992,Mediterranean sea,Tragula fenestrata,Mollusca
summer,1992,Mediterranean sea,Tragula fenestrata,Mollusca
summer,1992,Mediterranean sea,Naticarius stercusmuscarum,Mollusca
summer,1992,Mediterranean sea,Nassarius unifasciatus,Mollusca
summer,1992,Mediterranean sea,Tellina albicans,Mollusca
summer,1992,Mediterranean sea,Turritella communis,Mollusca
summer,1992,Mediterranean sea,Retusa umbilicata,Mollusca
summer,1992,Mediterranean sea,Crepidula moulinsii,Mollusca
summer,1992,Mediterranean sea,Ebala pointeli,Mollusca
summer,1992,Mediterranean sea,Graphis albida,Mollusca
summer,1992,Mediterranean sea,Graphis albida,Mollusca
summer,1992,Mediterranean sea,Mangelia multilineolata,Mollusca
summer,1992,Mediterranean sea,Mangelia multilineolata,Mollusca
summer,1992,Mediterranean sea,Mangelia paciniana,Mollusca
summer,1992,Mediterranean sea,Mangelia paciniana,Mollusca
summer,1992,Mediterranean sea,Fustiaria rubescens,Mollusca
summer,1992,Mediterranean sea,Lucinella divaricata,Mollusca
summer,1992,Mediterranean sea,Mactra stultorum,Mollusca
summer,1992,Mediterranean sea,Granulina marginata,Mollusca
summer,1992,Mediterranean sea,Neverita josephinia,Mollusca
summer,1992,Mediterranean sea,Retusa minutissima,Mollusca
summer,1992,Mediterranean sea,Rissoa guerinii,Mollusca
summer,1992,Mediterranean sea,Rissoa guerinii,Mollusca
summer,1992,Mediterranean sea,Tricolia speciosa,Mollusca
summer,1992,Mediterranean sea,Tricolia speciosa,Mollusca
summer,1992,Mediterranean sea,Tellina fabula,Mollusca
summer,1992,Mediterranean sea,Parvicardium scriptum,Mollusca
summer,1992,Mediterranean sea,Parvicardium scriptum,Mollusca
summer,1992,Mediterranean sea,Pollia scacchiana,Mollusca
summer,1992,Mediterranean sea,Gibbula umbilicaris,Mollusca
summer,1992,Mediterranean sea,Gibbula umbilicaris,Mollusca
summer,1992,Mediterranean sea,Ruditapes decussatus,Mollusca
summer,1992,Mediterranean sea,Ruditapes decussatus,Mollusca
summer,1992,Mediterranean sea,Acanthocardia tuberculata,Mollusca
summer,1992,Mediterranean sea,Bela zenetouae,Mollusca
summer,1992,Mediterranean sea,Parthenina indistincta,Mollusca
