seasoncollected,yearcollected,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,scientificname,rankname,kingdom,phylum,class,order,family,genus,subgenus,specificepithet
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Nodulus contortus,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Anabathridae,Nodulus,,contortus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Alvania scabra,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,scabra
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Rissoa guerinii,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,guerinii
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Placida verticilata,Species,Animalia,Mollusca,Gastropoda,,Limapontiidae,Placida,,verticilata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Parvicardium vroomi,Species,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium,,vroomi
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Ocinebrina edwardsii,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,,edwardsii
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Vexillum ebenus,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Pusia,,ebenus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Bittium latreillii,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,,latreillii
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Gibberula jansseni,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Cystiscidae,Gibberula,,jansseni
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Mitromorpha wilhelminae,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitromorphidae,Mitromorpha,,wilhelminae
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Bittium reticulatum,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,,reticulatum
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Eatonina fulgida,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cingulopsidae,Eatonina,,fulgida
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Setia amabilis,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Setia,,amabilis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Centrocardita aculeata,Species,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Centrocardita,,aculeata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Favorinus branchialis,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Favorinus,,branchialis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Alvania spinosa,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,spinosa
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Runcina coronata,Species,Animalia,Mollusca,Gastropoda,Runcinida,Runcinidae,Runcina,,coronata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Vexillum tricolor,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Pusia,,tricolor
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Runcina ferruginea,Species,Animalia,Mollusca,Gastropoda,Runcinida,Runcinidae,Runcina,,ferruginea
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Haminoea exigua,Species,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,,exigua
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Ocinebrina aciculata,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,,aciculata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Bittium submamillatum,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Cerithidium,,submammillatum
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Flabellina pedata,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Edmundsella,,pedata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Cerithium vulgatum,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Cerithium,,vulgatum
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Petricola lithophaga,Species,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Petricola,,lithophaga
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Retusa truncatula,Species,Animalia,Mollusca,Gastropoda,Cephalaspidea,Retusidae,Retusa,,truncatula
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Rissoella diaphana,Species,Animalia,Mollusca,Gastropoda,,Rissoellidae,Rissoella,,diaphana
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Alvania discors,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,discors
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Rissoa lilacina,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,lilacina
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Anomia ephippium,Species,Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,,ephippium
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Aplysia parvula,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,,parvula
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Rissoella opalina,Species,Animalia,Mollusca,Gastropoda,,Rissoellidae,Rissoella,,opalina
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Tricolia entomocheila,Species,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Tricolia,,entomocheila
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Pusillina radiata,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Pusillina,,radiata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Modiolula phaseolina,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolula,,phaseolina
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Nassarius cuvierii,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,cuvierii
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Cardita calyculata,Species,Animalia,Mollusca,Bivalvia,Carditida,Carditidae,Cardita,,calyculata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Elysia viridis,Species,Animalia,Mollusca,Gastropoda,,Plakobranchidae,Elysia,,viridis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Odostomia kromi,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Odostomia,,kromi
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Pollia dorbignyi,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Aplus,,dorbignyi
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Nassarius incrassatus,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,incrassata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Felimare tricolor,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Felimare,,tricolor
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Mimachlamys varia,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Mimachlamys,,varia
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Lasaea adansoni,Species,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Lasaea,,adansoni
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Striarca lactea,Species,Animalia,Mollusca,Bivalvia,Arcida,Noetiidae,Striarca,,lactea
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Gibbula turbinoides,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Gibbula,,turbinoides
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Cosmotriphora melanura,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Triphoridae,Cosmotriphora,,melanura
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Calliostoma laugieri,Species,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,,laugieri
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Clanculus jussieui,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Clanculus,,jussieui
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Cerithiopsis scalaris,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiopsidae,Cerithiopsis,,scalaris
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Diodora graeca,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,,graeca
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Emarginula octaviana,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Emarginula,,octaviana
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Musculus costulatus,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,,costulatus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Coralliophila meyendorffii,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Coralliophila,,meyendorffii
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Aplysia punctata,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,,punctata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Limaria hians,Species,Animalia,Mollusca,Bivalvia,Limida,Limidae,Limaria,,hians
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Hiatella arctica,Species,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,,arctica
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Emarginula huzardii,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Emarginula,,huzardii
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Modiolus barbatus,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,,barbatus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Aequipecten opercularis,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,,opercularis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Calmella cavolini,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Calmella,,cavolini
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Mitrella gervillii,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,,gervillii
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Jujubinus exasperatus,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Jujubinus,,exasperatus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Cratena peregrina,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Cratena,,peregrina
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Musculus marmoratus,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,,subpictus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Clanculus corallinus,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Clanculus,,corallinus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Gari depressa,Species,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,,depressa
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Diodora gibberula,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,,gibberula
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Lima lima,Species,Animalia,Mollusca,Bivalvia,Limida,Limidae,Lima,,lima
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Acanthochitona fascicularis,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,,fascicularis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Tritonia manicata,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Duvaucelia,,manicata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Pollia scacchiana,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Aplus,,scacchianus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Felimare villafranca,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Felimare,,villafranca
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Chauvetia brunnea,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Chauvetiidae,Chauvetia,,brunnea
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Alvania cimex,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,cimex
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Monophorus perversus,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Triphoridae,Monophorus,,perversus
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Barbatia barbata,Species,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Barbatia,,barbata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Cerithiopsis minima,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiopsidae,Cerithiopsis,,minima
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Mytilus galloprovincialis,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,galloprovincialis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Patella ulyssiponensis,Species,Animalia,Mollusca,Gastropoda,,Patellidae,Patella,,ulyssiponensis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Columbella rustica,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Columbella,,rustica
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Phyllaplysia lafonti,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Phyllaplysia,,lafonti
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Callochiton septemvalvis,Species,Animalia,Mollusca,Polyplacophora,Callochitonida,Callochitonidae,Callochiton,,septemvalvis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Muricopsis cristata,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Muricopsis,,cristata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Rocellaria dubia,Species,Animalia,Mollusca,Bivalvia,Gastrochaenida,Gastrochaenidae,Rocellaria,,dubia
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Talochlamys multistriata,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Talochlamys,,multistriata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Lepidochitona caprearum,Species,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Lepidochitona,,caprearum
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Thuridilla hopei,Species,Animalia,Mollusca,Gastropoda,,Plakobranchidae,Thuridilla,,hopei
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Arca noae,Species,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Arca,,noae
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Bittium reticulatum,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,,reticulatum
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Tylodina perversa,Species,Animalia,Mollusca,Gastropoda,Umbraculida,Tylodinidae,Tylodina,,perversa
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Ostrea edulis,Species,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,,edulis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Flabellina affinis,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,,affinis
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Ocinebrina edwardsii,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,,edwardsii
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Chauvetia mamillata,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Chauvetiidae,Chauvetia,,mamillata
winter,1984,Mediterranean sea,,,,,Islas Medes_1984_1-30,3.224491,,,42.045338,Pseudochama gryphina,Species,Animalia,Mollusca,Bivalvia,Venerida,Chamidae,Pseudochama,,gryphina
