id,modified,datasetid,institutioncode,collectioncode,eventid,datecollected,seasoncollected,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,startdecimallatitude,enddecimallatitude,coordinateuncertaintyinmeters,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificname,scientificnameid,aphiaid,rankname,scientificnameaccepted,scientificnameauthorship,aphiaidaccepted,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid,"BedAbund (#/m^2)","BedWetWtBiom (g/m^2)"
44586579,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_198","Rissoa parva",urn:lsid:marinespecies.org:taxname:141365,http://marinespecies.org/aphia.php?p=taxdetails&id=141365,Species,"Rissoa parva","(da Costa, 1778)",http://marinespecies.org/aphia.php?p=taxdetails&id=141365,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,parva,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_27",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.188
44586581,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_129","Nereis (Neanthes) succinea",urn:lsid:marinespecies.org:taxname:155187,http://marinespecies.org/aphia.php?p=taxdetails&id=155187,Species,"Alitta succinea","(Leuckart, 1847)",http://marinespecies.org/aphia.php?p=taxdetails&id=234850,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,,succinea,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_145",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.052
44586583,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_31","Cerastoderma lamarcki",urn:lsid:marinespecies.org:taxname:146788,http://marinespecies.org/aphia.php?p=taxdetails&id=146788,Species,"Cerastoderma glaucum","(Bruguière, 1789)",http://marinespecies.org/aphia.php?p=taxdetails&id=138999,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,,glaucum,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_56",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,28,0.46
44586585,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_21","Abra ovata",urn:lsid:marinespecies.org:taxname:146467,http://marinespecies.org/aphia.php?p=taxdetails&id=146467,Species,"Abra segmentum","(Récluz, 1843)",http://marinespecies.org/aphia.php?p=taxdetails&id=141438,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,segmentum,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_45",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,28,0.184
44586587,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_68","Lucinella divaricata",urn:lsid:marinespecies.org:taxname:140282,http://marinespecies.org/aphia.php?p=taxdetails&id=140282,Species,"Lucinella divaricata","(Linnaeus, 1758)",http://marinespecies.org/aphia.php?p=taxdetails&id=140282,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinella,,divaricata,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_78",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.672
44586589,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_18","Gammarus insensibilis",urn:lsid:marinespecies.org:taxname:102280,http://marinespecies.org/aphia.php?p=taxdetails&id=102280,Species,"Gammarus insensibilis","Stock, 1966",http://marinespecies.org/aphia.php?p=taxdetails&id=102280,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,insensibilis,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_191",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.352
44586591,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_15","Nereis zonata",urn:lsid:marinespecies.org:taxname:130407,http://marinespecies.org/aphia.php?p=taxdetails&id=130407,Species,"Nereis zonata","Malmgren, 1867",http://marinespecies.org/aphia.php?p=taxdetails&id=130407,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,,zonata,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_147",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,28,0.308
44586593,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_148","Staurocephalus kefersteini",urn:lsid:marinespecies.org:taxname:155342,http://marinespecies.org/aphia.php?p=taxdetails&id=155342,Species,"Protodorvillea kefersteini","(McIntosh, 1869)",http://marinespecies.org/aphia.php?p=taxdetails&id=130041,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,,kefersteini,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_169",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.008
44586595,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_89","Aricidea claudiae",urn:lsid:marinespecies.org:taxname:130557,http://marinespecies.org/aphia.php?p=taxdetails&id=130557,Species,"Aricidea (Strelzovia) claudiae","Laubier, 1967",http://marinespecies.org/aphia.php?p=taxdetails&id=734522,Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,Strelzovia,claudiae,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_101",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.016
44586597,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_189","Actinothoe clavata",urn:lsid:marinespecies.org:taxname:146478,http://marinespecies.org/aphia.php?p=taxdetails&id=146478,Species,"Sagartiogeton undatus","(Müller, 1778)",http://marinespecies.org/aphia.php?p=taxdetails&id=101002,Animalia,Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Sagartiogeton,,undatus,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_213",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,1.328
44586599,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_100","Glycera alba",urn:lsid:marinespecies.org:taxname:130116,http://marinespecies.org/aphia.php?p=taxdetails&id=130116,Species,"Glycera alba","(O.F. Müller, 1776)",http://marinespecies.org/aphia.php?p=taxdetails&id=130116,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,alba,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_113",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.772
44586601,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_181","Nototropis guttatus",urn:lsid:marinespecies.org:taxname:488957,http://marinespecies.org/aphia.php?p=taxdetails&id=488957,Species,"Nototropis guttatus","Costa, 1853",http://marinespecies.org/aphia.php?p=taxdetails&id=488957,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis,,guttatus,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_205",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.036
44586603,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_177","Leptochelia savignyi",urn:lsid:marinespecies.org:taxname:136475,http://marinespecies.org/aphia.php?p=taxdetails&id=136475,Species,"Chondrochelia savignyi","(Kroyer, 1842)",http://marinespecies.org/aphia.php?p=taxdetails&id=880874,Animalia,Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,Chondrochelia,,savignyi,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_200",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,28,0.068
44586605,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_70","Modiolus adriaticus",urn:lsid:marinespecies.org:taxname:140462,http://marinespecies.org/aphia.php?p=taxdetails&id=140462,Species,"Modiolus adriaticus","Lamarck, 1819",http://marinespecies.org/aphia.php?p=taxdetails&id=140462,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,,adriaticus,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_80",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,64,0.128
44586607,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_19","Microdeutopus damnoniensis",urn:lsid:marinespecies.org:taxname:102047,http://marinespecies.org/aphia.php?p=taxdetails&id=102047,Species,"Microdeutopus damnoniensis","(Spence Bate, 1857)",http://marinespecies.org/aphia.php?p=taxdetails&id=102047,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Microdeutopus,,damnoniensis,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_203",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.104
44586609,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_17","Balanus improvisus",urn:lsid:marinespecies.org:taxname:106218,http://marinespecies.org/aphia.php?p=taxdetails&id=106218,Species,"Amphibalanus improvisus","(Darwin, 1854)",http://marinespecies.org/aphia.php?p=taxdetails&id=421139,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,,improvisus,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_178",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,72,2.176
44586611,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_62","Gouldia minima",urn:lsid:marinespecies.org:taxname:141916,http://marinespecies.org/aphia.php?p=taxdetails&id=141916,Species,"Gouldia minima","(Montagu, 1803)",http://marinespecies.org/aphia.php?p=taxdetails&id=141916,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Gouldia,,minima,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_71",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,2.716
